Sentence,Emotion,TRUE,SentenceCI,CI,CI_Distance
Saldırgan ve öfkeli olurdu.,ANGER,He,Keith kabuslar görmeye başladı. </s><s> Alkol kabuslarını yok etmiyordu. </s> <s> Saldırgan ve öfkeli olurdu.,name (Keith),-2
"Kıyafetlerimi çıkarmamı söyledi, ama çıkarmadım, çok sinirlendi, ve elbisemi çekiştirmeye başladı, ben de banyoya koştum, arkamdan hala bağırıyordu.",ANGER,He,"Bu adam, bana yolladığı e-postasına cevap verdiğin adam mı? </s><s> Biliyordum. </s> <s> Kıyafetlerimi çıkarmamı söyledi, ama çıkarmadım, çok sinirlendi, ve elbisemi çekiştirmeye başladı, ben de banyoya koştum, arkamdan hala bağırıyordu.",man (adam),-2
Baban seni seviyor. </s> <s> Sana kızgın ama onu affetmelisin.,ANGER,He,Baban seni seviyor. </s> <s> Sana kızgın ama onu affetmelisin.,father(baba),-1
Kızgın olmak için oldukça çok sebebi var. ,ANGER,He,"Kızgın olmak için oldukça çok sebebi var. </s> <s> Scott, iyi biri ve bu dünyada iyi insanların ezilmesi çok üzücü.",name (Scott),1
Öfkelidir. </s><s> Çok sinirlenir.,ANGER,He,"Ne, iyi bir adam değil mi? </s> <s> Öfkelidir. </s><s> Çok sinirlenir.",man (adam),-2
Buraya geldiğimi öğrendiğinde çok kızacak fakat başka ne yapacağımı bilemedim.,ANGER,He,John Quincy'nin bundan haberi var mı? </s><s> Hayır. </s><s> Ona söyleyemiyor. </s><s> Denedi. </s><s> Durumu açıklamak için ona yazmayı denedi; </s><s> fakat bunu yapamadı. </s> <s> Buraya geldiğimi öğrendiğinde çok kızacak fakat başka ne yapacağımı bilemedim.,name (John),-5
Kontratı yırtacağını söyledi. </s> <s> - Ortağına çok kızmıştı.,ANGER,He,Rankin ne dedi? </s><s> - Kontratı yırtacağını söyledi. </s> <s> - Ortağına çok kızmıştı.,name (Rankin),-2
Sonra Herkese kızdığını hatırlar ve kapanırdı.,ANGER,He,Judah arada bir bahsederdi. </s><s> Sonra Herkese kızdığını hatırlar ve kapanırdı.,name (Judah),-1
"Bilmiyorum. </s> <s> Yani, çok öfkeliydi.",ANGER,He,"Ryan'ın bugün mezarlıkta ne söylediğini anlatmalısın. </s><s> Bilmiyorum. </s> <s> Yani, çok öfkeliydi.",name (Ryan),-2
Ormanı yok etme planına kızmış olabilir mi?,ANGER,He,Yaşlı Bey ormanı çok severdi. </s> <s> Ormanı yok etme planına kızmış olabilir mi?,Mr (Bey),-1
Sana sinirinden deliye döndü.,ANGER,He,George deliye döndü. </s><s> - Şimdiden sarhoş mu oldu? </s><s> Farklı yönlere çekme olayı. </s> <s> Sana sinirinden deliye döndü.,name (George),-3
Çok kızdı. </s><s> Beni tehdit etti.,ANGER,He,"Peter Benjamin'le aynı konumdayız. </s><s> Sattığı uyuşturucuların karşısında, bitik parti katılımları ve batık Hesapların lafı bile olmaz. </s><s> Ona ayrılmak istediğimi söyleyince... </s> <s> Çok kızdı. </s><s> Beni tehdit etti.",name (Benjamin),-3
Bir şekilde kızgın değildi. ,ANGER,He,Bir şekilde kızgın değildi. </s> <s> Başka babaların çok kızabileceği bir durumdu ama top canavarı çok yumuşaktı.,father(baba),1
Yeterince kızgın olduğu kesin.,ANGER,He,"Bugün gözler, üyelerinden biri internet haber skandalına karışan New York Meclisinde. ...Meclis üyesi Raymond Walsh uyuşturucu kullanımıyla devlet fonlarını kumar ve fuhşa harcamakla suçlanıyor. </s><s> Bu tür haberler insanın kariyerini bitirir. </s><s> - Molly'nin peşine düşmüş müdür? </s> <s> - Yeterince kızgın olduğu kesin.",name (Raymond),-3
Bana ve babasına o kadar kızgın ki. </s><s> Sana anlattığı şeyler sırf bize öfkesindendi.,ANGER,He,"Danny'i bıraktığın için teşekkürler. </s><s> Dertlerimizle kafanı şişirdiği için de senden özür dilemek isterim. </s><s> Şu anda aklından neler geçiyor, kim bilir. </s> <s> Bana ve babasına o kadar kızgın ki. </s><s> Sana anlattığı şeyler sırf bize öfkesindendi.",name (Danny),-3
"Televizyona kızmıştı. </s> <s> Bence, televizyonun sorumlu olduğunu düşünüyordu. </s><s> Çekici aldı ve televizyonu kırmaya başladı.",ANGER,He,"Ashok Hepsini tek tek kucakladı ve gözyaşı döktü. </s><s> İşte bu yüzden üzerinde kan lekeleri vardı. </s><s> Gözümle gördüm. </s> <s> Televizyona kızmıştı. </s> <s> Bence, televizyonun sorumlu olduğunu düşünüyordu. </s><s> Çekici aldı ve televizyonu kırmaya başladı.",name (Ashok),-3
Gerçekten o kadar sıkıntıda mıydı? </s> <s> O kadar kızgın olmak için bir nedeni var mıydı bilmiyorum. </s><s> Ama annemi ağlattığı için onu hiç affetmedim,ANGER,He,"Louis'i tanıyor muydu? </s><s> -Hayır. </s><s> Zaten ona hiç benzemiyorsun. </s><s> Bu çok normal. </s><s> Neden? </s><s> Çünkü birbirimizden farklıydık. </s><s> Onu gerçekten seviyor muydum diye düşünüyorum. </s><s> Tek hatırladığım, onun bağırıp, çağırıp küfürler ettiği. </s><s> Gerçekten o kadar sıkıntıda mıydı? </s> <s> O kadar kızgın olmak için bir nedeni var mıydı bilmiyorum. </s><s> Ama annemi ağlattığı için onu hiç affetmedim",name (Louis),-9
Kızdığı zaman pek sevimli olmadığını da söyleyebilirsin.,ANGER,He,"Bill Randolph oldukça sinirli biriymiş. </s><s> Karısını dövmüş, barda kavgaya karışmış ve mahkeme onu öfke kontrolü seminerine göndermiş. </s> <s> Kızdığı zaman pek sevimli olmadığını da söyleyebilirsin.",name (Bill),-2
"Demek istediğim, o Her zaman sinirli bir çocuk gibiydi.",ANGER,He,"Alkol ve Bill kesinlikle ateş ve barut gibiydi. </s><s> Bilirsiniz, bu bir tür gergin ip gibiydi, çünkü ne olacağını hiç bilemezdiniz, ve genellikle, eğer bir sürü içki içilmişse, işler kötüye giderdi. </s> <s> Demek istediğim, o Her zaman sinirli bir çocuk gibiydi.",name (Bill),-2
"Barney'le tartıştı, kızgındı ve bu konuda yalan söyledi.",ANGER,He,"Scotty, Barney'le cinayetten saatler önce tartıştı. </s><s> Onu tutacak bir şeyiniz yok. </s><s> Şimdilik. </s> <s> Barney'le tartıştı, kızgındı ve bu konuda yalan söyledi.",name (Scotty),-3
Sadece bu kadını öldürmezsen kızacak.,ANGER,He,"</s><s> Dante'ye yardım etmelisin. </s><s> Dante mi? </s><s> Evet. </s><s> Kızgın-- Kızgın olacak. </s><s> Hayır, hayır. </s><s> Söz veriyorum. </s> <s> Sadece bu kadını öldürmezsen kızacak.",name (Dante),-6
Onu affetmeyecek kadar çok gururlu olduğuna emindim.,PRIDE,She,</s><s> Onu affetmeyecek kadar çok gururlu olduğuna emindim. Ancak yine de... </s><s> Bu Diane Redfern nerede yaşar?,name (Diane),1
Öyle gururlu ve öyle hayat dolu ki...,PRIDE,She,</s><s> O fakir kadınla ilgileneceğim. Bana adını ve adresini ver.  Şu an çalışıyor mu? </s><s> Hayır. İdare etmeye çalışıyor. Bunun için de yumurtadan yün kırpıyor. Öyle gururlu ve öyle hayat dolu ki...,woman (kadın),-6
"Gurur duyuyor, ama ""üç de çok oldu"" diyor.",PRIDE,She,"MGM'in aslanı bir tane, annemizde üç tane. Gurur duyuyor, ama ""üç de çok oldu"" diyor. ",mother(anne),-1
Oğlunun nasıl biri haline geldiğini görse gurur duyardı.,PRIDE,She,</s><s> Keşke annesi yaşasaydı. </s><s> Oğlunun nasıl biri haline geldiğini görse gurur duyardı.,mother(anne),-1
"Evlendiğinde eşini tanıyordun, gururlu ve kıskanç olduğunu tapındığı tanrılar ve geldiği dağlar kadar yabani olduğunu.",PRIDE,She,"Evlendiğinde eşini tanıyordun, gururlu ve kıskanç olduğunu tapındığı tanrılar ve geldiği dağlar kadar yabani olduğunu. O, bilmediğimi sanıyor ama şunu iyi biliyorum: O bir kadın ve seninle dalga geçiyor.",woman (kadın),2
Eğer gururluysa yazamaz.,PRIDE,She,Bir kız önce yazamaz. Eğer gururluysa yazamaz.,girl (kız),-1
Büyük bir gururla erkeklerin lideri ve ordu baş komutanı olduğunu addetti.,PRIDE,She,"Kendisine, bir azizeymiş gibi saygı gösterilmesine müsaade etti. Savaştayken insan kanı dökmesine rağmen tanrıdan geldiğini iddia etti. <Büyük bir gururla erkeklerin lideri ve ordu baş komutanı olduğunu addetti.",saintess (azize),-2
Eşi ve eşinin işi ile gurur duyuyor fakat amacına ulaşana kadar da onunla konuşmak istemiyor.,PRIDE,She,</s><s> Karısı işi tamamlamak zorunda. </s><s> Başardığı zaman... </s><s> Kurt'un kendisi ona gelecek. </s><s> Eşi ve eşinin işi ile gurur duyuyor fakat amacına ulaşana kadar da onunla konuşmak istemiyor.,wife (karısı),-3
Kendini sergilemekten gurur duyuyordu,PRIDE,She,"Yeni genç metresinin yüzünde, tevazudan en ufak bir iz bile yoktu. Bu yüzden ondan nefret ettim. Kendini sergilemekten gurur duyuyordu",mistress (metres),-2
Kısacası şimdi o listeme girdiği için gurur duymaya hakkı var.,PRIDE,She,Bir kadındaki bayağılığı çok severim. O bir canlılıktır. Kısacası şimdi o listeme girdiği için gurur duymaya hakkı var.,woman (kadın),-2
Gururla ve yara almadan mı ayrıldı?,PRIDE,She,Sence karısı başarısız bir ilişkiden sonra nasıl hissetmiştir? Gururla ve yara almadan mı ayrıldı?,wife (karısı),-1
Gururuna sarıldı ve bu tarzını korudu.,PRIDE,She,"Eski Kraliçe Victoria hakkında okuyordum. Belki zamanından fazla yaşadı. Belki müzelik bir parçaydı, ama ne asaletini kaybetti, Ne de silahlarını sattı. Gururuna sarıldı ve bu tarzını korudu.",name (Victoria),-3
"Evet, gururlanır Herhalde.",PRIDE,She,"Melissa çok gururlanırdı. </s><s> Evet, gururlanır Herhalde.",name (Melissa),-1
Sizin gerçek aşkınız olmaktan gurur duyuyor,PRIDE,She,"Birader Leng, siz tutkulu birisiniz yıldız hanımın size gönderdiği mesaja şaşaırmamak gerek. Sizin gerçek aşkınız olmaktan gurur duyuyor",lady (hanım),-1
"Eudora FletcHer'la evlenmek üzere olduğunu okuyunca... gururuna dokunmuş, ve hukukî kanallara başvurmaya karar vermişti.",PRIDE,She,"Kadın, gazetede Zelig'in... </s><s> Eudora FletcHer'la evlenmek üzere olduğunu okuyunca... gururuna dokunmuş, ve hukukî kanallara başvurmaya karar vermişti.",woman (kadın),-1
O zaman tedbir aldığımızı anlar ve gururu incinebilir.,PRIDE,She,"</s><s> Gloria nerede yaşıyordu? </s><s> Şükran Günü Caddesi No:62. </s><s> Paramızı çalabilir endişelenmiyor musun? </s><s> Oh, paramızı saklayabiliriz. </s><s> Ya gerçekten çalmaya çalışır da parayı bulamazsa? </s><s> O zaman tedbir aldığımızı anlar ve gururu incinebilir.",name (Gloria),-5
Belki bundan gurur duyar.,PRIDE,She,"</s><s> Yok, olmaz, Meryl Streep adını alamazsınız. </s><s> - Belki bundan gurur duyar. </s><s>",Meryl Streep,-1
Onunla gurur duyuyor.,PRIDE,She,"</s><s> Bay Melon, karınız az önce Klimt'ini gösterdi. </s><s> - Size de, ha? </s><s> Herkese gösteriyor. </s><s> - Onunla gurur duyuyor.",wife (karınız),-3
Çok gururlu olduğu için bunu itiraf edemezdi.,PRIDE,She,</s><s> Ama Lady'nin bu akşam buraya bir anlaşma için geldiğini düşünüyordum. </s><s> - Niçin? </s><s> - MücevHerini satmak için buraya getirdi. </s><s> Çok gururlu olduğu için bunu itiraf edemezdi.,Lady,-3
Tabi yalnız gururla sunduğu özel yemeğini servis ederken.,PRIDE,She,</s><s> Çin mutfağı geleneklerine uygun olarak annem Her zaman kendi aşçılığını aşağılardı. </s><s> Tabi yalnız gururla sunduğu özel yemeğini servis ederken.,mother(anne),-1
"""Bu benim en gururlu anlarımdan biri. </s><s> '"" der gibiydi",PRIDE,She,"</s><s> Bence annem... en başından liseye kadar, benimle gerçekten gurur duyuyordu. </s><s> Bana, ""Herkes hayallerini sana yüklüyordu... ancak sen kendi hayallerini kendin taşımayı becerdin. </s><s> '"" dedi. </s><s> Mezuniyetten sonra ona diplomamı verdiğimde... </s><s> ""Bu benim en gururlu anlarımdan biri. </s><s> '"" der gibiydi",mother(anne),-3
"Onunla gurur duyuyordu, ve Hep takardı.",PRIDE,She,"</s><s> Teftiş memurunun raporu, vajinasının yırtıklarla dolu olduğunu söylüyordu. </s><s> Başlangıçta, taktığı o okul rozetini bulamamışlardı çünkü bıçak darbeleri yüzünden derinin altına girmişti. </s><s> O rozeti çok severdi. </s><s> Onunla gurur duyuyordu, ve Hep takardı.",vagina (vajina),-3
Muhtemelen gururluydu .,PRIDE,She,</s><s> Tumek Grilka'nın rahatsız olmadığını söyledi. </s><s> Muhtemelen gururluydu . </s><s>,name (Grilka),-1
Yani Hecelemesiyle gurur duyuyor.,PRIDE,She,"</s><s> - Bu CHeryl. </s><s> Amigo kız. </s><s> - Ne? </s><s> - Göster onlara. </s><s> - Bu kadar insanın içinde olmaz. </s><s> - Hadi, hadi. </s><s> Hazır mısınız? </s><s> Tamam. </s><s> P ye hazır mısınız? </s><s> A ya hazır mısınız? </s><s> M ye hazır mısınız? </s><s> C ye hazır mısınız? </s><s> R... </s><s> A... </s><s> M... </s><s> S... </s><s> RAMS için eller havaya! </s><s> Güzel. </s><s> Yani Hecelemesiyle gurur duyuyor.",name (CHeryl),-14
Eva'yı kendi gururu için kullanıyor sonuçta.,PRIDE,She,</s><s> Asuka için sorun değil. </s><s> Eva'yı kendi gururu için kullanıyor sonuçta. </s><s>,name (Asuka),-1
Gururlu biri.,PRIDE,She,"</s><s> - O burada olduğu için şanslısın. </s><s> - Neden ki? </s> <s> Gururlu biri. </s><s> Geri adım atmıyor. </s><s> Ve de çok tatlı. </s><s> Farketmedim deme sakın. </s><s> Bayan Laurier, Louisa'ya ders vermek için burada.",Miss (Bayan),4
Gururlu biri.,PRIDE,She,"</s><s> Annem iyi mi, onu öğrenmek için. </s><s> Fakirlik maaşı alıyor. </s><s> Son günlerde onu arayamamıştım. </s><s> - Neden onu aramadın? </s><s> - Her şeyden önce uyuyordur. </s><s> Hem darda olsa bile bana söylemez ki. </s><s> Hayatta söylemez. </s><s> O öyledir. </s> <s> Gururlu biri.",mother(anne),-8
Çok gururluydu .,PRIDE,She,</s><s> Elizabeth gibi. </s><s> Kim? </s><s> Gurur ve Önyargı 'daki Elizabeth Bennet. </s><s> Çok gururluydu .,name (Elizabeth),-1
Eminim seninle ve hayatta yaptıklarınla gurur duyardı.,PRIDE,She,</s><s> Anneni ne güzel hatırlıyorsun. </s><s> Keşke hatırlayabilsem. </s><s> Mülteci kampında öldüğünde ben daha üç yaşındaydım. </s><s> Eminim seninle ve hayatta yaptıklarınla gurur duyardı.,mother(anne),-3
"Son zamanlarda benimle öyle gururlanıyor ki, okumayı öğrenmemden ve okuldan filan işte.",PRIDE,She,"</s><s> Annemi arayacak cesareti bulamadım adamım. </s><s> Son zamanlarda benimle öyle gururlanıyor ki, okumayı öğrenmemden ve okuldan filan işte.",mother(anne),-1
Kendisinin gururlandığı kesin.,PRIDE,She,</s><s> Ama ailem Daphne Moon'un Seattle'ı yazısını gazetede görünce gurur duyacaktır. </s><s> Kendisinin gururlandığı kesin.,name (Daphne),-1
Kızı bir lezbiyenmiş ve onunla gurur duyuyor.,PRIDE,She,"</s><s> Kızı bir lezbiyenmiş ve onunla gurur duyuyor. </s><s> Ben demedim mi? </s><s> New York Latin Lezbiyen Anneleri Derneği. </s><s> Bayan Ochoa, New York Latin Lezbiyen Anneleri Derneğinin başkanıymış.",mother(anne),2
Eve geldi ve gururla Herseyi kendi anlatti!,PRIDE,She,</s><s> Karim ona vurup kolyeyi kapmis ve onu birakmis. </s><s> Dedikodu cabuk yayilir! </s><s> Hemen duydum olanlari. </s><s> Ve ne oldu? </s><s> Eve geldi ve gururla Herseyi kendi anlatti!,wife (karım),-4
"Çok iyi ve seninle gurur duyuyor, ben de öyle.",PRIDE,She,"</s><s> - Az önce, büyük annenle beraberdim. </s><s> - O nasıl? </s><s> Çok iyi ve seninle gurur duyuyor, ben de öyle.",grandmother(büyükanne),-2
Gururunu yutmasını ve af dilemesini öğrenmesi gerekiyor.,PRIDE,She,"</s><s> Peki ya Anne? </s><s> Hala merdivenlerde mi? </s><s> Oh, evet, hanımefendi. </s><s> Görebileceğim bir yerde olmasını tercih ederdim, ama ışıksız bir yerde nakış işleyemem. </s><s> Bu ceza ne kadardır sürüyor? </s><s> Üç gün oldu. </s><s> Ona kalmış. </s> <s> Gururunu yutmasını ve af dilemesini öğrenmesi gerekiyor.",name (Anne),-7
O kadar gururlu ki seninle Her şeye iddiaya girer.,PRIDE,She,</s><s> Küçük kız çok acayip. </s><s> O kadar gururlu ki seninle Her şeye iddiaya girer.,girl (kız),-1
"Eminim konukseverliğiniz, gururunu fazlasıyla okşayacaktır.",PRIDE,She,"</s><s> Anneme sormak zorundayım. </s><s> Dışarıda, arabanın içinde beni bekliyor. </s><s> Eminim konukseverliğiniz, gururunu fazlasıyla okşayacaktır.",mother(anne),-2
Gururu okşanır.,PRIDE,She,"</s><s> O bir Tanrıça. </s><s> Sana bir soru; onu istemiyorsan, ben şansımı deneyebilir miyim? </s><s> - Ne? </s><s> Hayır! </s><s> - Neden? </s><s> - Öyle işte! </s><s> - İlgilenmiyorsan... </s><s> Hayır, sorun o değil. </s><s> Dediğim gibi, eğer ilgilenmiyorsan... </s><s> - İlgileniyorum. </s><s> - Öyleyse, git ona. </s><s> - Durgunluk dönemindeyim. </s><s> - O zaman bana izin ver. </s><s> - Hayır! </s><s> - Bencil! </s><s> - Değilim. </s><s> - Kimsenin onu istemesini istemiyorsun. </s><s> - Onun tipi değilsin. </s><s> - Gururu okşanır.",goddess (tanrıça),-18
Ama kimseye söyleyemeyecek kadar da gururlu .,PRIDE,She,"</s><s> Joey, Worthington'a gitmiyor </s><s> Mali yardım paketini reddettiler. </s><s> Ama kimseye söyleyemeyecek kadar da gururlu .",name (Joey),-2
Çok gurur duymuş gibiydi.,PRIDE,She,"</s><s> Annen, iki saat boyunca tek bir kelime bile etmedi. </s><s> -Vicki'ydi değil mi? </s><s> -Evet Sonunda ""i"" var. </s><s> Vicki yoruldum ve eve gitmek istiyorum. </s><s> Kabalık etmek istemem ama başka bir şey yoksa? </s><s> Yok, affedersin. </s><s> Ama birinin sana tebriklerini iletmesini istedi. </s><s> Çok gurur duymuş gibiydi.",mother(anne),-7
Bununla gurur duyuyordu.,PRIDE,She,"</s><s> Zoe'nin taşıyıcı annelik yaptığı biliyor muydunuz? </s><s> Evet, tabi, bana Hemen söyledi. </s><s> Bununla gurur duyuyordu.",name (Zoey),-2
"Stan onun bütün mal varlığını dondurdu, hiç parası yok, yardım istemek için çok gururlu , o yüzden limuzininde yaşıyor",PRIDE,She,"</s><s> Karen'a neler oluyor biliyorsun, değil mi ? </s><s> Neden burda duş almak zorunda olduğu ? </s><s> Büyük sırrı ? </s><s> Hayır, bilmiyorum. </s><s> Anlat bana. </s><s> - Hayır. </s><s> - Anlat. </s><s> İyi, anlatma. </s><s> Şimdi ben sana anlatmak istiyorum. </s><s> - Hayır. </s><s> - Evet, hadi. </s><s> İyi. </s><s> Stan onun bütün mal varlığını dondurdu, hiç parası yok, yardım istemek için çok gururlu , o yüzden limuzininde yaşıyor",name (Karen),-12
"Ee, yardımımızı istemek için çok gururlu olduğuna göre, derim ki girelim oraya ve gelip bizimle kalma fikrine katılana kadar çıkmayı reddedelim.",PRIDE,She,"<s> Karen'ın limuzini orada. </s><s> - Sanmıyorum. </s><s> - Hayır. </s><s> Hayır, o. </s><s> Tampondaki kırmızı, yeşil ve sarı izi gördün mü o palyaçoya çarptığı yerde ? </s><s> Radio Shack'in dışındaki mi ? </s><s> O palyaçoyu bilmiyorum. </s><s> Benim bahsettiğim Times Meydanı'ndaki McDonald's'ın dışındakiydi. </s><s> - O iyi bir McDonald's'. </s><s> - Bilmez miyim. </s><s> Ee, plan nedir ? </s><s> Ee, yardımımızı istemek için çok gururlu olduğuna göre, derim ki girelim oraya ve gelip bizimle kalma fikrine katılana kadar çıkmayı reddedelim.",name (Karen),-11
Her zaman çok gururluydu .,PRIDE,She,"</s><s> Drey'auc hareket edebilecek durumda değil. </s><s> Neden bekledin? </s><s> Seni, onun isteğine karşı çıkarak buraya getirdim. </s><s> Her zaman çok gururluydu .",Drey'auc,-3
Genç yaşında gurur duyacağı ilk şey olmuştu bu.,PRIDE,She,</s><s> Genç yaşında gurur duyacağı ilk şey olmuştu bu. </s><s> Çan çalmaya başladığında Grace kaskatı kesildi.,name (Grace),-1
"Öyle bir gururla hareket ediyordu ki işte o zaman, yakışıklı ve gururlu gözükmemiz gerektiğini anladım.",PRIDE,She,"Ama kafamı kaldırdığımda hoş bir kız görmüştüm... </s><s> Öyle bir gururla hareket ediyordu ki işte o zaman, yakışıklı ve gururlu gözükmemiz gerektiğini anladım.",girl (kız),-1
Artık pek gururlu görünmüyor.,PRIDE,She,Kassie'yi odama yolla. </s><s> Artık pek gururlu görünmüyor.,name (Kassie),-1
Tecavüzü kabullenirse gururu kırılacak.,PRIDE,She,</s><s> Bence Luann tecavüze uğradı. </s><s> Güçlü bir yaşlı kadın ama benim de dikkatimi çekti. </s><s> Bana katılıyor musun? </s><s> Tecavüzü kabullenirse gururu kırılacak.,name (Luann),-3
"Ne dersin, gurur duyar mıydı?",PRIDE,She,"</s><s> Anana sor! </s><s> Şu an bizi burada görebildiğini düşünebiliyor musun? </s><s> Sence ne derdi? </s><s> İki kardeş bir şeyler içip sohbet ediyorlar. </s><s> Ne dersin, gurur duyar mıydı?",mother(ana),-4
Bu kadar gururlu olmasaydı onu ben götürürdüm.,PRIDE,She,"</s><s> - Kim? </s><s> - Hermione elbette. </s><s> Hadi ama, Harry. </s><s> Kiminle gittiğini söylememesinin başka ne nedeni olabilir ki? </s><s> Çünkü söylerse onunla kafa bulurduk da ondan. </s><s> Kimse onu davet etmedi. </s><s> Bu kadar gururlu olmasaydı onu ben götürürdüm.",name (Hermione),-5
Yeni işinden gurur duyuyordu.,PRIDE,She,"</s><s> Hmm, masasında oturan annem. </s><s> Mektup bölümü yöneticisiydi. </s><s> Yeni işinden gurur duyuyordu.",mother(anne),-2
Bununla gurur duyuyor.,PRIDE,She,"</s><s> Bay Monk, Julie bunu kendi parası ile aldı. </s><s> Bununla gurur duyuyor.",name (Julie),-1
Yanında daima gururla gezecek.,PRIDE,She,"</s><s> Jhanvi beni terk etmeyecek, değil mi? </s><s> Yanında daima gururla gezecek.",name (Jhanvi),-1
Gurur duyuyor olmalı.,PRIDE,She,</s><s> Annem beni oraya götürürdü. </s><s> Bir Sunfish'imiz vardı. </s><s> Şuraya parkederdik. </s><s> Burada başaracağıma inanan tek kişiyidi. </s> <s> Gurur duyuyor olmalı.,mother(anne),-4
Benleriyle gurur duyar.,PRIDE,She,</s><s> Annemin Beyaz Saray kadar koca bir et beni yok hiç değilse. </s><s> Benleriyle gurur duyar.,mother(anne),-1
Bununla gurur duyuyor.,PRIDE,She,</s><s> April nasıl? </s><s> Harika. </s><s> Eminim Cuma itibariyle ameliyat izini bütün öğretmenlere ve sınıf arkadaşlarına gösterdi. </s><s> Bununla gurur duyuyor.,name (April),-3
Ama gururundan söyleyemiyor.,PRIDE,She,</s><s> Lütfen anneme geri döner misin? </s><s> O çok mutsuz. </s><s> Sana ihtiyacı var. </s><s> Ama gururundan söyleyemiyor.,mother(anne),-3
Öyle gururludur ki.,PRIDE,She,"</s><s> Angel hayatta kaldığı için çok şanslı. </s><s> En kötüsü geçmiş, yine bedeni kötü bir dönem atlattı, deniz yolculuğu da üstüne tuz biber ekmiş. </s><s> İyice dinlenmeli ve rahatsız edilmemeli. </s><s> Mektup gelip gelmediğini sordu. </s><s> Bu konuda çok ısrarcı davrandı. </s><s> Bana neden bu kadar zalimce... </s><s> Tekrar tekrar cezalandırılıyorum... </s><s> Her şeyi en başından düşündüm ve seni affetmem... </s><s> Sana yanlış yapmayı niyetim olmadığını biliyorsun... </s><s> Neden bana yanlış yaptın? </s><s> Çok zalimsin... </s><s> Artık birer yabancıyız. </s><s> Peki yokluğum boyunca hiç para istemedi mi? </s><s> Hayır. </s><s> Hayır, tabi ki istemedi. </s><s> Öyle gururludur ki.",name (Angel),-15
Çok gururludur .,PRIDE,She,</s><s> Çok gururludur . </s><s> Ona polislerle çıkmamasını söylemiştim. </s><s> Beni dinlemedi. </s><s> Kadınlar.,women (kadınlar),3
Gururunu sineye çekmek ve yardım kabul etmek zorunda kalacak.,PRIDE,She,"</s><s> Annem hayatında hiçbir zaman benimle sırlarını paylaşmadı. </s><s> Tekrar deneyin, Bay Clennam. </s><s> Şimdi başı belada. </s> <s> Gururunu sineye çekmek ve yardım kabul etmek zorunda kalacak.",mother(anne),-3
Artık hiç gururu kalmamıştı Sean.,PRIDE,She,"</s><s> İntihar teşebbüsleri üstüne eğitim aldım, ve kadınlar intihar için silah kullanmayı tercih etmezler, gurur yüzünden. </s><s> Artık hiç gururu kalmamıştı, Sean.",women (kadınlar),-1
Gururu kırılmış olmalı.,PRIDE,She,"</s><s> Sonrasında Mia'yı korkuttu ve Mia da gitti. </s><s> - Nereye gitti? </s><s> - Bilmiyorum. </s><s> Eşyalarını topladı, berbat olduğunu söyledi ve gitti. </s><s> Onu suçlayabilir misin? </s> <s> Gururu kırılmış olmalı.",name (Mia),-5
Eminim hala gurur duyuyor.,PRIDE,She,"</s><s> Annen seninle gurur duyuyor olmalı. </s><s> Evet, bir kaç yıl önce vefat etti. </s><s> Eminim hala gurur duyuyor.",mother(anne),-2
"Çok gururlu biri, değil mi anne?",PRIDE,She,"</s><s> Çok gururlu biri, değil mi anne? </s><s> Öyle. </s><s> Bir kontes olarak doğması gerekirdi diyecek kadar ileri gideceğim.",countess (kontes),2
Belki de torunu bir iblisi yoldan çıkardı diye gururlanır .,PRIDE,She,</s><s> Kadın kötülükleri görebiliyor Sock. </s><s> Sam'in Şeytan'la bir ilişkisi olduğunu nasıl anlamıştı unuttun mu? </s><s> Nina'nın ne olduğunu anlamaz mı sanıyorsun? </s><s> Muhtemelen. </s><s> Belki de torunu bir iblisi yoldan çıkardı diye gururlanır .,woman (kadın),-4
Hayatının yönü olmadığı konusunda ne kadar tartıştıysam da Her zaman gurur duyardı.,PRIDE,She,</s><s> Annen seninle gurur duyardı. </s><s> Hayatının yönü olmadığı konusunda ne kadar tartıştıysam da Her zaman gurur duyardı.,mother(anne),-1
"Hayır, hayır, para istemek için fazla gururlu .",PRIDE,She,"/s><s> Penny şu sıralar mali sıkıntılar içerisinde ve ondan aldığın borcu geri ödemen onun tüm problemlerini çözecek. </s><s> Borcu almak için de seni mi gönderdi? </s><s> Hayır, hayır, para istemek için fazla gururlu .",name (Penny),-2
"Gururunu geri kazanabilmek için insan öldürdü, ve grupta yerinin düzelmesini umut etti.",PRIDE,She,"</s><s> Kız kardeşim Harakiri sırasında kafa kesmek için gönüllü oldu. </s><s> Hayır yapamıyorum, çok korkuyorum. </s><s> Bu, hayır... </s> <s> Gururunu geri kazanabilmek için insan öldürdü, ve grupta yerinin düzelmesini umut etti.",sister (kız kardeş),-3
Seninle gurur duyuyordu.,PRIDE,She,</s><s> Erica öldürüldüğünde dünyanın bir ucundaydım. </s><s> Benim için endişeleniyordu. </s><s> İlgilenmesi gereken küçük kardeşiydim ben. </s><s> Seninle gurur duyuyordu.,name (Erica),-3
